F_max,blas_threads,ceiling,cubic_gain,headroom,lambda,max_block,max_frac_of_p,n_blocks,n_over_p,oracle_F_max,p,regime,rtol,seed,support_f1,tol,true_n_blocks
0.6589108910891089,8,751.3148009015778,495.0495049504951,0.34108910891089106,0.48000000000000004,11,0.11,62,2,0.2,100,balanced,1e-05,2,0.5714285714285715,1e-07,5
0.6112469437652812,8,1000.0,611.2469437652812,0.3887530562347188,0.5,10,0.1,65,2,0.2,100,balanced,1e-05,2,0.5384615384615384,1e-07,5
1.0,8,1.0,1.0,0.0,0.02,100,1.0,1,5,0.2,100,balanced,1e-05,0,0.055074257425742575,1e-07,5
1.0,8,1.0,1.0,0.0,0.04,100,1.0,1,5,0.2,100,balanced,1e-05,0,0.08349900596421472,1e-07,5
1.0,8,1.0,1.0,0.0,0.06,100,1.0,1,5,0.2,100,balanced,1e-05,0,0.12643678160919541,1e-07,5
1.0,8,1.0,1.0,0.0,0.08,100,1.0,1,5,0.2,100,balanced,1e-05,0,0.20810810810810812,1e-07,5
1.0,8,1.0,1.0,0.0,0.1,100,1.0,1,5,0.2,100,balanced,1e-05,0,0.32801822323462415,1e-07,5
0.99999896939091,8,1.0306101521283646,1.0306090899721736,1.0306090899581122e-06,0.12000000000000001,99,0.99,2,5,0.2,100,balanced,1e-05,0,0.47491638795986624,1e-07,5
0.9999503548916034,8,1.4185020901628298,1.4184316684728029,4.964510839655656e-05,0.13999999999999999,89,0.89,10,5,0.2,100,balanced,1e-05,0,0.6232558139534884,1e-07,5
0.9995427277121223,8,2.3703703703703702,2.3692864656879933,0.0004572722878777302,0.16,75,0.75,16,5,0.2,100,balanced,1e-05,0,0.6910994764397906,1e-07,5
0.9332157702481421,8,13.497462477054313,12.596044841919637,0.06678422975185794,0.18,42,0.42,23,5,0.2,100,balanced,1e-05,0,0.7500000000000001,1e-07,5
0.8229551137040124,8,72.33796296296296,59.53089653530182,0.17704488629598758,0.19999999999999998,24,0.24,30,5,0.2,100,balanced,1e-05,0,0.7544910179640719,1e-07,5
0.8459079283887468,8,107.9796998164345,91.34088417975886,0.15409207161125316,0.22,21,0.21,35,5,0.2,100,balanced,1e-05,0,0.7654320987654321,1e-07,5
0.827300930713547,8,125.0,103.41261633919338,0.17269906928645296,0.24,20,0.2,37,5,0.2,100,balanced,1e-05,0,0.7499999999999999,1e-07,5
0.6293577981651376,8,364.4314868804665,229.3577981651376,0.3706422018348624,0.26,14,0.14,41,5,0.2,100,balanced,1e-05,0,0.7402597402597403,1e-07,5
0.5,8,751.3148009015778,375.6574004507889,0.5,0.28,11,0.11,45,5,0.2,100,balanced,1e-05,0,0.7333333333333334,1e-07,5
